#Chinese	#English	#Sentences
七誡運動歌	Song of Encouragement
 	 	擔任佛光獎學金籌備委員會的主席需要強大的組織能力和溝通技巧。
 	 	Serving as the chairperson of the BLIA Scholarship Organizing Committee requires strong organizational skills and communication abilities.
 	 	他們在佛光獎學金籌備委員會的支持下，成功地舉行了一場籌款活動。
 	 	With the support of the BLIA Scholarship Organizing Committee, they successfully held a fundraising event.
 	 	佛光獎學金籌備委員會的成員來自各行各業，攜手合作推動教育。
 	 	Members of the BLIA Scholarship Organizing Committee come from various sectors, working together to promote education.
佛光祈願文	Fo Guang Prayer
 	 	每天早晨，她都誠心誦讀佛光祈願文，祈求世界和平與人類幸福。
 	 	Every morning, she sincerely recites the Fo Guang Prayer, wishing for world peace and human happiness.
 	 	在法會上，會長帶領大眾誦念佛光祈願文，以凝聚眾人的心力。
 	 	During the dharma assembly, the President led the congregation in chanting the Fo Guang Prayer to unite everyone's hearts and minds.
 	 	佛光祈願文深具啟發性，激勵人們追求智慧與慈悲的生活。
 	 	The Fo Guang Prayer is deeply inspiring, motivating people to pursue a life of wisdom and compassion.
 	 	許多人在特殊的佛教節日會互相傳誦佛光祈願文，以希望祝福傳至四方。
 	 	Many people share the Fo Guang Prayer with each other during special Buddhist festivals, hoping to spread blessings far and wide.
佛光童軍團	BLIA Scouts Division
 	 	佛光童軍團近日舉辦了一次環保活動，帶領大家一起清理社區的公園。
 	 	The BLIA Scouts Division recently organized an environmental event, leading everyone in cleaning up the community park.
 	 	作為佛光童軍團的團長，他的領導才能備受好評。
 	 	As the leader of the BLIA Scouts Division, his leadership skills are highly praised.
 	 	佛光會長贊揚了佛光童軍團在促進青少年發展上的傑出表現。
 	 	The BLIA president commended the BLIA Scouts Division for their outstanding performance in promoting youth development.
 	 	佛光童軍團計劃在今年夏天舉辦一次露營活動，增強成員們的團隊合作能力。
 	 	The BLIA Scouts Division is planning to hold a camping event this summer to enhance team-building skills among its members.
佛光童軍委員會	BLIA Scouts Committee
 	 	佛光童軍委員會近期舉辦了一次國際交流活動，吸引了許多來自不同國家的會員參加。
 	 	The BLIA Scouts Committee recently organized an international exchange event, attracting many members from different countries.
 	 	作為佛光童軍委員會的成員，他每週都參加義工活動，服務社會。
 	 	As a member of the BLIA Scouts Committee, he participates in volunteer activities every week to serve the community.
 	 	佛光童軍委員會今年的目標是提升年輕人的環保意識，推廣可持續發展的理念。
 	 	This year, the BLIA Scouts Committee aims to enhance young people's environmental awareness and promote the concept of sustainable development.
 	 	李先生被選為佛光童軍委員會的顧問，負責提供政策和戰略方面的指導。
 	 	Mr. Li was elected as an advisor to the BLIA Scouts Committee, responsible for providing guidance on policy and strategy.
佛光童軍服務員知能研習營	Buddha’s Light Scouts Staff Seminar
 	 	佛光童軍服務員知能研習營旨在提升志工的組織和領導能力。
 	 	The Buddha’s Light Scouts Staff Seminar aims to enhance the organizational and leadership skills of volunteers.
 	 	她每年都參加佛光童軍服務員知能研習營，以提升自己的專業能力。
 	 	She attends the Buddha’s Light Scouts Staff Seminar every year to improve her professional capabilities.
 	 	在這次佛光童軍服務員知能研習營中，我們學到了許多應對緊急狀況的技巧。
 	 	During this Buddha’s Light Scouts Staff Seminar, we learned numerous techniques for handling emergencies.
 	 	佛光童軍服務員知能研習營提供了一個絕佳的平台，讓成員們交流經驗並分享學習心得。
 	 	The Buddha’s Light Scouts Staff Seminar provides an excellent platform for members to exchange experiences and share learning insights.
佛光菩提眷屬慶祝賀禮	Fo Guang Bodhi Couple Vow Renewal Ceremony
 	 	每年，成千上萬的夫婦參加佛光菩提眷屬慶祝賀禮，以重溫他們的誓言。
 	 	Every year, thousands of couples attend the Fo Guang Bodhi Couple Vow Renewal Ceremony to renew their vows.
 	 	在佛光菩提眷屬慶祝賀禮上，會長致辭祝福所有參與的夫妻幸福美滿。
 	 	At the Fo Guang Bodhi Couple Vow Renewal Ceremony, the president delivered a speech blessing all participating couples for happiness and fulfillment.
 	 	這次佛光菩提眷屬慶祝賀禮是由國際佛光會理事會精心籌辦的。
 	 	The Fo Guang Bodhi Couple Vow Renewal Ceremony was meticulously organized by the BLIA Board of Directors.
 	 	參加佛光菩提眷屬慶祝賀禮的夫妻們收到了一份特別設計的禮物，以紀念這一重要時刻。
 	 	Couples attending the Fo Guang Bodhi Couple Vow Renewal Ceremony received a specially designed gift to commemorate the important occasion.
佛光藝術委員會	Buddha's Light Art Committee
 	 	佛光藝術委員會正在策劃一場大型的藝術展覽，旨在展現佛教藝術的多樣性。
 	 	The Buddha's Light Art Committee is organizing a grand art exhibition aimed at showcasing the diversity of Buddhist art.
 	 	她被選為佛光藝術委員會的成員，負責協調各種跨文化的藝術活動。
 	 	She was chosen as a member of the Buddha's Light Art Committee, responsible for coordinating various cross-cultural art activities.
 	 	佛光藝術委員會每年都會邀請知名藝術家參加國際佛教藝術研討會。
 	 	Every year, the Buddha's Light Art Committee invites renowned artists to participate in the International Buddhist Art Symposium.
 	 	佛光藝術委員會的使命是通過藝術推廣佛教文化，促進國際間的理解和交流。
 	 	The mission of the Buddha's Light Art Committee is to promote Buddhist culture through art, fostering international understanding and exchange.
佛光道場	Fo Guang Shan Dharma Center
 	 	佛光道場每週舉辦禪修活動，吸引了許多來自世界各地的修行者。
 	 	The Fo Guang Shan Dharma Center holds weekly meditation sessions, attracting practitioners from around the world.
 	 	上週我參加了佛光道場的佛學課程，獲益良多。
 	 	Last week, I attended a Buddhism class at the Fo Guang Shan Dharma Center, and I gained a lot of insight.
 	 	她是佛光道場的一名義工，協助管理各類活動。
 	 	She is a volunteer at the Fo Guang Shan Dharma Center, helping to organize various activities.
 	 	佛光道場將於下月舉行一場大型的傳法儀式，預計參加人數眾多。
 	 	The Fo Guang Shan Dharma Center will hold a large Dharma transmission ceremony next month, expecting a significant number of attendees.
佛光金剛	BLIA Men
 	 	在這次活動中，佛光金剛們展現了強大的團隊合作精神，讓整個活動進行得非常順利。
 	 	During the event, the BLIA Men demonstrated a strong team spirit, ensuring everything proceeded smoothly.
 	 	國際佛光會會長讚揚佛光金剛的成員為促進佛教文化交流所做的努力。
 	 	The President of BLIA praised the members of the BLIA Men for their efforts in promoting Buddhist cultural exchange.
 	 	佛光金剛定期舉行會議，討論如何更好地支援國際佛光會的各項活動。
 	 	The BLIA Men regularly hold meetings to discuss ways to better support various activities of the BLIA.
 	 	作為佛光金剛的一員，他致力於宣導社會服務，積極參與社區計劃。
 	 	As a member of the BLIA Men, he is committed to advocating for social services and actively participates in community programs.
佛光金剛聯誼委員會	Buddha's Light Men's Fellowship Committee
 	 	佛光金剛聯誼委員會在本周末舉辦了一場主題為慈悲與善行的研討會。
 	 	The Buddha's Light Men's Fellowship Committee held a seminar themed 'Compassion and Good Deeds' this weekend.
 	 	李先生成為佛光金剛聯誼委員會的新任會長。
 	 	Mr. Li has become the new chairman of the Buddha's Light Men's Fellowship Committee.
 	 	佛光金剛聯誼委員會的成員每月舉行一次聚會以促進團結和友誼。
 	 	Members of the Buddha's Light Men's Fellowship Committee meet monthly to foster unity and friendship.
 	 	作為佛光金剛聯誼委員會的核心成員，他們致力於支持社區的各種活動。
 	 	As core members of the Buddha's Light Men's Fellowship Committee, they are dedicated to supporting various community activities.
佛光青年團	BLIA Young Adult Division
 	 	佛光青年團在這次活動中展示了豐富的創意和活力，赢得了眾多的讚譽。
 	 	The BLIA Young Adult Division showcased abundant creativity and energy in the event, earning much praise.
 	 	作為佛光青年團的一員，她積極參加各項國際交流活動，增進了文化理解。
 	 	As a member of the BLIA Young Adult Division, she actively participated in international exchange activities, enhancing cultural understanding.
 	 	佛光青年團的成員們舉辦了一場慈善募捐活動，籌集資金幫助有需要的人。
 	 	Members of the BLIA Young Adult Division organized a charity fundraising event to raise money to help those in need.
 	 	我們邀請佛光青年團的代表來分享他們在社區服務中的寶貴經驗。
 	 	We invited representatives from the BLIA Young Adult Division to share their valuable experiences in community service.
佛光青年幹部成長營	Buddha’s Light Young Adult Executive Growth And Development Camp
 	 	今年的佛光青年幹部成長營吸引了來自世界各地的青年領袖參加。
 	 	This year's Buddha’s Light Young Adult Executive Growth And Development Camp attracted young leaders from around the world.
 	 	在佛光青年幹部成長營中，參加者學習了如何增強管理能力和承擔領導責任。
 	 	During the Buddha’s Light Young Adult Executive Growth And Development Camp, participants learned how to enhance their managerial skills and take on leadership responsibilities.
 	 	佛光青年幹部成長營在國際佛光會的支持下，每年舉辦一次。
 	 	The Buddha’s Light Young Adult Executive Growth And Development Camp is held annually with the support of the BLIA.
 	 	許多青年幹部通過參加佛光青年幹部成長營取得了巨大進步，並將所學運用到實際工作中。
 	 	Many young executives have made significant progress by attending the Buddha’s Light Young Adult Executive Growth And Development Camp and have applied what they learned to their actual work.
佛光青年成年禮	Fo Guang Adulthood Ceremony
 	 	佛光青年成年禮是國際佛光會每年舉辦的重要活動之一，為青年會員提供成長的機會。
 	 	The Fo Guang Adulthood Ceremony is one of the important events held annually by BLIA, providing growth opportunities for young members.
 	 	在佛光青年成年禮上，年輕人穿著傳統服飾，象徵著他們從青少年邁向成年的重要時刻。
 	 	During the Fo Guang Adulthood Ceremony, young people wear traditional attire, symbolizing their significant transition from adolescence to adulthood.
 	 	今年的佛光青年成年禮特別邀請了國際佛光會會長致詞，激勵青年們持續追求心靈上的成長。
 	 	This year's Fo Guang Adulthood Ceremony specially invited the president of BLIA to speak, inspiring the youth to continue their pursuit of spiritual growth.
 	 	佛光青年成年禮不僅僅是一個儀式，更是一個讓青年們反思未來，設定人生目標的平台。
 	 	The Fo Guang Adulthood Ceremony is not just a ritual, but also a platform for young people to reflect on their future and set life goals.
佛光青年白象幹部培訓	BLIA-YAD White Elephant Training Workshop
 	 	佛光青年白象幹部培訓今年吸引了來自全球的青年會員參加，共同學習領導技能。
 	 	This year's BLIA-YAD White Elephant Training Workshop attracted young members from around the globe to learn leadership skills together.
 	 	國際佛光會的理事會特別強調佛光青年白象幹部培訓對於組織發展的重要性。
 	 	The BLIA council highlighted the importance of the BLIA-YAD White Elephant Training Workshop for the organization's development.
 	 	她在參加佛光青年白象幹部培訓後，獲得了寶貴的知識和啟發，對未來充滿信心。
 	 	After attending the BLIA-YAD White Elephant Training Workshop, she gained valuable insights and inspiration, feeling confident about the future.
 	 	BLIA-YAD白象幹部培訓結束後，每位參與者都獲得了證書，作為他們努力學習的見證。
 	 	Upon completion of the BLIA-YAD White Elephant Training Workshop, each participant received a certificate as a testament to their dedicated learning.
佛光體系青年大會師	Fo Guang Shan Youth Summit
 	 	國際佛光會的成員們正積極籌備即將舉行的佛光體系青年大會師。
 	 	Members of the BLIA are actively preparing for the upcoming Fo Guang Shan Youth Summit.
 	 	在佛光體系青年大會師上，各國青年領袖分享了他們對佛教未來發展的看法。
 	 	At the Fo Guang Shan Youth Summit, youth leaders from various countries shared their views on the future development of Buddhism.
 	 	這次青年大會師旨在激勵青年人參與佛教文化的推廣和實踐。
 	 	This Youth Summit aims to inspire young people to participate in the promotion and practice of Buddhist culture.
 	 	佛光體系青年大會師吸引了來自世界各地的熱情青年，大家齊聚一堂探索佛教智慧。
 	 	The Fo Guang Shan Youth Summit attracted enthusiastic youth from around the world, gathering together to explore Buddhist wisdom.
佛光鬆柔法	Buddha's Light Relaxation Exercises
 	 	每週三，寺院都會舉辦佛光鬆柔法課程，吸引了許多當地居民參加。
 	 	Every Wednesday, the temple hosts Buddha's Light Relaxation Exercises classes, attracting many local residents.
 	 	佛光鬆柔法不僅能舒緩身心，還能增強精神專注力。
 	 	Buddha's Light Relaxation Exercises can not only relieve the body and mind but also enhance mental focus.
 	 	國際佛光會會長強調佛光鬆柔法在現代生活中對緩解壓力的重要性。
 	 	The President of BLIA emphasized the importance of Buddha's Light Relaxation Exercises for stress relief in modern life.
 	 	實踐佛光鬆柔法讓她的生活變得更加平和與和諧。
 	 	Practicing Buddha's Light Relaxation Exercises made her life more peaceful and harmonious.
佛寶節	Buddha Day
 	 	每年佛寶節，國際佛光會的會員們都會舉行隆重的慶典活動，以紀念釋迦牟尼佛的誕生。
 	 	Every year on Buddha Day, members of the BLIA hold grand celebrations to commemorate the birth of Shakyamuni Buddha.
 	 	佛寶節當天，大家齊聚寺廟，誦經祈福，共同感受佛法的慈悲精神。
 	 	On Buddha Day, people gather at the temple to chant sutras and pray, experiencing the compassion of the Dharma together.
 	 	小朋友們在佛寶節上參加手工制作活動，學習佛教的慈悲與智慧。
 	 	Children participate in craft activities on Buddha Day to learn about the compassion and wisdom of Buddhism.
 	 	今年的佛寶節，會長在開幕式上發表了鼓舞人心的講話，激勵大家在日常生活中實踐佛法。
 	 	This year on Buddha Day, the president gave an inspiring speech at the opening ceremony, encouraging everyone to practice the Dharma in daily life.
佛教兒童教育委員會	Children's Education Committee
 	 	佛教兒童教育委員會正在舉辦一個關於培養正念的兒童夏令營。
 	 	The Children's Education Committee is organizing a children's summer camp focused on cultivating mindfulness.
 	 	她被任命為佛教兒童教育委員會的新任會長，負責領導新的教育計畫。
 	 	She was appointed as the new chairperson of the Children's Education Committee, responsible for leading new educational initiatives.
 	 	佛教兒童教育委員會與當地學校合作，推廣慈悲和智慧的教育課程。
 	 	The Children's Education Committee collaborates with local schools to promote educational programs centered on compassion and wisdom.
 	 	佛教兒童教育委員會的目標是提供適合兒童的佛學教義材料。
 	 	The goal of the Children's Education Committee is to provide Buddhist teachings materials suitable for children.
佛教有聲出版委員會	Buddhist Audio-Visual Promotion Committee
 	 	國際佛光會的佛教有聲出版委員會致力於推動佛教文化的傳播。
 	 	The Buddhist Audio-Visual Promotion Committee of the BLIA is dedicated to promoting the spread of Buddhist culture.
 	 	明年的國際佛光大會邀請了佛教有聲出版委員會制定媒體計劃。
 	 	The Buddhist Audio-Visual Promotion Committee has been invited to devise a media plan for next year's BLIA convention.
 	 	佛教有聲出版委員會的作品集在全球各地廣受好評。
 	 	The works of the Buddhist Audio-Visual Promotion Committee have been widely acclaimed worldwide.
 	 	因為有禦寒衣物短缺，佛教有聲出版委員會主辦了名為「音繪暖意」的慈善活動。
 	 	Owing to a shortage of warm clothing, the Buddhist Audio-Visual Promotion Committee organized a charity event called 'Warmth Through Sound and Image'.
佛教翻譯委員會	Buddhism Translation Committee
 	 	佛教翻譯委員會負責將重要的經典翻譯成多種語言以廣傳佛法。
 	 	The Buddhism Translation Committee is responsible for translating significant scriptures into multiple languages to widely disseminate the Dharma.
 	 	在這次國際會議上，佛教翻譯委員會分享了最新的翻譯技術與成果。
 	 	At the international conference, the Buddhism Translation Committee shared their latest translation technologies and achievements.
 	 	她被選為佛教翻譯委員會的一員，協助進行經文英譯工作。
 	 	She was selected as a member of the Buddhism Translation Committee to assist in the English translation of scriptures.
 	 	佛光山寺的法師常常與佛教翻譯委員會合作，確保翻譯的準確性和信達雅。
 	 	Monks from Fo Guang Shan Temple often collaborate with the Buddhism Translation Committee to ensure the translations are accurate and elegant.
佛教青年委員會	Buddhist Young Adult Outreach Committee
 	 	佛教青年委員會在國際佛光會的領導下，積極舉辦活動，以鼓勵年輕人參與佛教事務。
 	 	The Buddhist Young Adult Outreach Committee under the leadership of BLIA actively organizes events to encourage young people to participate in Buddhist affairs.
 	 	作為佛教青年委員會的領導者，他們負責協調青年志工的活動和培訓。
 	 	As the leaders of the Buddhist Young Adult Outreach Committee, they are responsible for coordinating activities and training for young volunteers.
 	 	佛教青年委員會最近發起了一項環保運動，以提高環境意識。
 	 	The Buddhist Young Adult Outreach Committee recently launched an environmental campaign to raise awareness about environmental protection.
 	 	加入佛教青年委員會的成員可以參加全球各地的佛學研討會和工作坊。
 	 	Members of the Buddhist Young Adult Outreach Committee can participate in Buddhist seminars and workshops around the world.
佛誕浴佛法會	Bathing the Buddha Celebration
 	 	每年國際佛光會在世界各地舉行佛誕浴佛法會，吸引許多信徒參加。
 	 	Every year, BLIA holds the Bathing the Buddha Celebration worldwide, attracting many devotees.
 	 	參加佛誕浴佛法會是傳統習俗，代表著清淨和新生的象徵。
 	 	Participating in the Bathing the Buddha Celebration is a traditional custom that symbolizes purity and renewal.
 	 	法會上，信眾們虔誠地為佛像進行淨水灌頂，祈求佛光加持。
 	 	During the celebration, devotees devoutly perform the ritual of pouring purifying water over the Buddha statue, praying for the blessings of Buddha's light.
 	 	今年的佛誕浴佛法會將由國際佛光會的主席主持。
 	 	This year's Bathing the Buddha Celebration will be presided over by the president of BLIA.
佛陀紀念館	Buddha's Relic Pagoda
 	 	佛陀紀念館吸引了來自世界各地的參觀者，他們前來祈禱並沈浸在神聖的氛圍中。
 	 	The Buddha's Relic Pagoda attracts visitors from all over the world, who come to pray and immerse themselves in the sacred atmosphere.
 	 	國際佛光會的年度會議今年在佛陀紀念館舉行，眾多會員參與了會議分享。
 	 	This year, the International BLIA annual meeting is held at the Buddha's Relic Pagoda, with many members participating in the discussions.
 	 	每年的佛誕節期間，佛陀紀念館都會舉辦一系列活動，吸引信眾參與慶祝。
 	 	During the annual Buddha's birthday festival, the Buddha's Relic Pagoda hosts a series of events that draw devotees to participate in the celebrations.
 	 	在週末，許多家庭來到佛陀紀念館，享受那裡的平靜和自然美景。
 	 	On weekends, many families visit the Buddha's Relic Pagoda to enjoy its tranquility and natural beauty.
信仰與傳承	Faith and Legacy
 	 	國際佛光會的一大使命是促進佛教的信仰與傳承，讓佛法的智慧遍及全球。
 	 	One of the primary missions of BLIA is to promote the faith and legacy of Buddhism, spreading the wisdom of Dharma worldwide.
 	 	他的家族一直以宗教信仰與傳承為榮，代代相傳著這份精神遺產。
 	 	His family has always taken pride in their religious faith and legacy, passing down this spiritual heritage through generations.
 	 	透過教育與文化活動，年輕一代可以學習佛光山開創者的信仰與傳承。
 	 	Through educational and cultural activities, the younger generation can learn about the faith and legacy of the founders of Fo Guang Shan.
 	 	在佛誕大典上，會長強調了信仰與傳承對於未來和平的關鍵作用。
 	 	During the Buddha’s Birthday celebration, the President emphasized the crucial role of faith and legacy in achieving future peace.
信徒大學	Devotees' University
 	 	信徒大學提供多樣化的禪修課程，提高學生的內心平和與專注。
 	 	Devotees' University offers a variety of meditation courses to enhance students' inner peace and focus.
 	 	作為信徒大學的校長，他致力於推廣佛教教育並提升學生的道德素養。
 	 	As the president of Devotees' University, he is committed to promoting Buddhist education and enhancing students' moral values.
 	 	信徒大學的畢業生在各行各業中展現優秀的領導能力和慈悲心。
 	 	Graduates of Devotees' University demonstrate exceptional leadership skills and compassion in various fields.
 	 	國際佛光會行政文書組與信徒大學合作開發新的培訓計劃。
 	 	The BLIA's Administration Documentation Department collaborates with Devotees' University to develop new training programs.
個人會員	Individual Member
 	 	作為國際佛光會的個人會員，他積極參加每週的佛學課程。
 	 	As an individual member of the Buddha's Light International Association (BLIA), he actively participates in the weekly Dharma classes.
 	 	她以個人會員的身份捐款支持國際佛光會的慈善活動。
 	 	She donated to support the Buddha's Light International Association's charitable activities as an individual member.
 	 	每位個人會員都可以提出建議，幫助改善國際佛光會的會務運作。
 	 	Each individual member can make suggestions to help improve the operations of the Buddha's Light International Association.
 	 	在年度大會上，個人會員有權利分享他們的意見和想法。
 	 	At the annual convention, individual members have the right to share their opinions and ideas.
僧寶節	Sangha Day
 	 	國際佛光會的會員們在僧寶節這天聚集在寺廟，共同慶祝這個意義深遠的節日。
 	 	Members of BLIA gathered at the temple on Sangha Day to celebrate this meaningful festival together.
 	 	在僧寶節那天，佛教徒們通常會捐贈義務時間，為社區服務以表達對僧團的感恩。
 	 	On Sangha Day, Buddhists typically donate volunteer hours to serve the community as a gesture of gratitude towards the Sangha.
 	 	僧寶節讓信徒們有機會重新審視他們對僧團的支持和承諾。
 	 	Sangha Day provides devotees with the opportunity to reflect on their support and commitment to the Sangha.
 	 	在這個特別的僧寶節，寺院的住持組織了一個冥想工作坊，以促進心靈的寧靜。
 	 	On this special Sangha Day, the abbot of the temple organized a meditation workshop to promote peace of mind.
公共關係組	Public Relations Unit
 	 	國際佛光會公共關係組負責策劃各類活動，以提升組織的知名度和形象。
 	 	The Public Relations Unit of the BLIA is responsible for organizing various events to raise the organization's visibility and image.
 	 	公共關係組的成員經常與媒體聯繫，以確保國際佛光會的聲音能夠被廣泛傳播。
 	 	Members of the Public Relations Unit frequently liaise with the media to ensure the voice of BLIA is widely broadcast.
 	 	她在公共關係組的工作中表現優異，因此獲得了年度最佳貢獻獎。
 	 	Her outstanding performance in the Public Relations Unit earned her the Best Contribution Award of the year.
 	 	公共關係組不僅僅負責對外公關，還協助組內的各個項目進行有效的溝通。
 	 	The Public Relations Unit is not only responsible for external PR but also facilitates effective communication within various projects in the organization.
公是公非	One Truth for All
 	 	在理事會的會議上，大家都遵循公是公非的原則來進行討論，確保每個決策都公平公正。
 	 	During the council meeting, everyone adhered to the principle of 'One Truth for All' to ensure every decision was fair and just.
 	 	作為國際佛光會的會長，他以身作則，事事皆以公是公非的標準來對待。
 	 	As the president of BLIA, he sets an example by treating every matter with the standard of 'One Truth for All'.
 	 	在這個問題上，我們必須保持公是公非的態度，以便找出解決方案。
 	 	On this issue, we must maintain an attitude of 'One Truth for All' in order to find a solution.
 	 	行政文書組在處理文件時始終堅持公是公非，確保每個步驟的透明和準確。
 	 	The administrative documentation group always adheres to 'One Truth for All' when handling documents to ensure transparency and accuracy at every step.
公是與公非	One Truth for All
 	 	在理事會的討論中，他們達成了公是與公非的共識，強調所有人應該遵循共同的價值觀。
 	 	During the council's discussion, they reached an agreement on one truth for all, emphasizing that everyone should adhere to shared values.
 	 	主席在演講中指出，社會和諧的實現需要我們認識到公是與公非的重要性。
 	 	In his speech, the Chairperson highlighted that achieving social harmony requires us to recognize the importance of one truth for all.
 	 	作為國際佛光會的一員，她始終堅持公是與公非的信念，以此作為她決策的原則。
 	 	As a member of BLIA, she consistently upholds the belief in one truth for all as the guiding principle for her decisions.
 	 	在這場辯論中，公是與公非的觀念成為了討論的核心，影響著每個與會者的立場。
 	 	In this debate, the concept of one truth for all became the focal point, influencing the stance of each participant.
共生與共榮	Coexistence and Coprosperity
 	 	國際佛光會致力於推動全球的共生與共榮，使不同文化與宗教背景的人們能夠和諧共處。
 	 	The Buddha's Light International Association is committed to promoting global coexistence and coprosperity, enabling people from diverse cultural and religious backgrounds to live together harmoniously.
 	 	在理事會的會議上，會長強調共生與共榮是組織發展的核心理念。
 	 	At the council meeting, the president emphasized that coexistence and coprosperity are core principles for the organization's development.
 	 	透過共生與共榮的理念，他們成功地建立了多元包容的社會環境。
 	 	Through the concept of coexistence and coprosperity, they successfully established a diverse and inclusive social environment.
 	 	我們相信共生與共榮的精神能夠促進國際間的和平與友誼。
 	 	We believe that the spirit of coexistence and coprosperity can foster international peace and friendship.
共識與開放	Consensus and Openness
 	 	在國際佛光會的理事會會議中，所有成員達成了關於新年度計畫的共識與開放態度。
 	 	In the board meeting of the BLIA, all members reached a consensus and openness regarding the new annual plan.
 	 	共識與開放是國際佛光會行政文書組持續發展與創新的基礎。
 	 	Consensus and openness are the foundation for continuous development and innovation in the administrative documentation team of BLIA.
 	 	作為國際佛光會的會長，他強調在組織中建立共識與開放的重要性。
 	 	As the president of BLIA, he emphasized the importance of establishing consensus and openness within the organization.
 	 	在推進國際佛光會的新方案時，共識與開放使整個團隊更加和諧合作。
 	 	While advancing the new initiatives of BLIA, consensus and openness brought more harmonious collaboration to the entire team.
分會	Subchapter
 	 	國際佛光會的台北分會舉辦了一場大型的佛學研討會，吸引了數百名信徒參加。
 	 	The Taipei subchapter of BLIA organized a large-scale Buddhist seminar, attracting hundreds of devotees.
 	 	作為分會會長，她每月都會主持會議，確保所有活動順利進行。
 	 	As the subchapter president, she presides over monthly meetings to ensure all activities run smoothly.
 	 	分會的成員積極參與社區服務，展現了佛教徒的慈悲與奉獻精神。
 	 	The members of the subchapter actively participate in community service, demonstrating the compassion and dedication of Buddhists.
 	 	新成立的分會致力於推動禪修課程，以促進會員的身心健康。
 	 	The newly established subchapter is committed to promoting meditation classes to enhance the physical and mental well-being of its members.
分會副會長	Subchapter Vice President
 	 	國際佛光會台北分會的分會副會長在年度會議中發表了重要的演講。
 	 	The Subchapter Vice President of the BLIA Taipei Chapter delivered an important speech at the annual meeting.
 	 	這位新任分會副會長正在籌備即將舉行的文化交流活動。
 	 	The newly appointed Subchapter Vice President is organizing the upcoming cultural exchange event.
 	 	分會副會長參與了由總部理事會舉辦的研討會，並分享了他們的經驗。
 	 	The Subchapter Vice President participated in a seminar organized by the headquarters' council and shared their experiences.
 	 	在分會的慶祝晚宴上，分會副會長被表彰其卓越的領導能力。
 	 	At the chapter's celebration dinner, the Subchapter Vice President was recognized for their outstanding leadership.
分會會長	Subchapter President
 	 	李先生被選為當地佛光會的分會會長，他感到非常榮幸。
 	 	Mr. Li was elected as the Subchapter President of the local BLIA, and he felt very honored.
 	 	分會會長親自主持了此次的重要會議，確保一切井然有序。
 	 	The Subchapter President personally chaired the important meeting, ensuring that everything was in order.
 	 	在他的領導下，分會會長促進了社區中多項文化交流活動。
 	 	Under his leadership, the Subchapter President promoted numerous cultural exchange activities within the community.
 	 	分會會長致力於推廣佛教文化，凝聚了會員們的向心力。
 	 	The Subchapter President is committed to promoting Buddhist culture, thus uniting the members' focus and dedication.
副主任委員	['Deputy Executive Director', 'Deputy Committee Director (BLIA)']
 	 	李先生被任命為國際佛光會的副主任委員，協助管理理事會的日常事務。
 	 	Mr. Li was appointed as the Deputy Executive Director of the BLIA, assisting in managing the daily affairs of the board.
 	 	作為國際佛光會的副主任委員，她在多項國際會議中發揮了關鍵作用。
 	 	As the Deputy Committee Director of the BLIA, she played a crucial role in several international conferences.
 	 	他的職責作為副主任委員包括監督多項社區服務項目。
 	 	His responsibilities as the Deputy Executive Director include overseeing various community service projects.
 	 	在成為國際佛光會的副主任委員之前，他已經在行政文書組工作了多年。
 	 	Before becoming the Deputy Committee Director (BLIA), he had worked for many years in the administrative document section.
副會長	Vice President
 	 	國際佛光會的副會長對本次會議的成功舉辦起到了重要的作用。
 	 	The Vice President of BLIA played a crucial role in the success of this conference.
 	 	在行政文書組中，副會長經常協助制定政策和舉辦活動。
 	 	Within the Administrative Documents Section, the Vice President frequently assists in policy-making and organizing events.
 	 	副會長於年度大會上發表了一篇關於全球合作的重要演講。
 	 	The Vice President delivered an important speech on global cooperation at the annual convention.
 	 	新當選的副會長承諾會增強青年會員的參與和影響力。
 	 	The newly elected Vice President promised to enhance the participation and influence of young members.
副法制長	Deputy Legal Affairs Officer
 	 	國際佛光會副法制長在會議中提出了修訂章程的建議。
 	 	The Deputy Legal Affairs Officer of BLIA proposed amendments to the bylaws during the meeting.
 	 	作為副法制長，他的責任包括協助處理法律相關問題。
 	 	As the Deputy Legal Affairs Officer, his responsibilities include assisting with legal matters.
 	 	副法制長主持了關於非營利組織法律合規的培訓研討會。
 	 	The Deputy Legal Affairs Officer conducted a training seminar on legal compliance for non-profit organizations.
 	 	她被任命為副法制長，致力於確保國際佛光會的活動合乎法律規範。
 	 	She was appointed as the Deputy Legal Affairs Officer, dedicated to ensuring BLIA's activities are legally compliant.
副秘書長	Deputy Secretary-General
 	 	國際佛光會的副秘書長在年會上發表了演講，分享了組織未來的發展計劃。
 	 	The Deputy Secretary-General of the BLIA delivered a speech at the annual meeting, sharing the organization's future development plans.
 	 	作為副秘書長，她協助秘書長協調各部門的工作，確保活動順利進行。
 	 	As the Deputy Secretary-General, she assists the Secretary-General in coordinating the work of various departments to ensure the smooth progress of activities.
 	 	副秘書長的責任包括管理行政事務和組織國際會議。
 	 	The responsibilities of the Deputy Secretary-General include managing administrative affairs and organizing international conferences.
 	 	他被任命為國際佛光會的副秘書長，以其優秀的領導能力和組織能力聞名。
 	 	He was appointed as the Deputy Secretary-General of the BLIA, renowned for his exceptional leadership and organizational skills.
副財務長	Deputy Treasurer
 	 	在上週的理事會會議中，副財務長提出了一項新的預算計劃。
